partai,tahun_pemilu,persentase_suara
PDIP,2009,14.03
PDIP,2014,18.95
PDIP,2019,19.33
PDIP,2024,16.72
Golkar,2009,14.45
Golkar,2014,14.75
Golkar,2019,12.31
Golkar,2024,15.28
Gerindra,2009,4.46
Gerindra,2014,11.81
Gerindra,2019,12.57
Gerindra,2024,13.22
PKB,2009,4.94
PKB,2014,9.04
PKB,2019,9.69
PKB,2024,10.61
NasDem,2009,0.0
NasDem,2014,6.72
NasDem,2019,9.05
NasDem,2024,9.65
PKS,2009,7.88
PKS,2014,6.79
PKS,2019,8.21
PKS,2024,8.42
Demokrat,2009,20.85
Demokrat,2014,10.19
Demokrat,2019,7.77
Demokrat,2024,7.43
PAN,2009,6.01
PAN,2014,7.59
PAN,2019,6.84
PAN,2024,7.23
