provinsi,partai,persentase_suara,jumlah_suara,total_suara_sah
Aceh,PDIP,10.09,338279,3353717
Aceh,Golkar,16.03,537533,3353717
Aceh,Gerindra,12.81,429717,3353717
Aceh,PKB,12.89,432260,3353717
Aceh,NasDem,10.96,367643,3353717
Aceh,PKS,8.76,293647,3353717
Aceh,Demokrat,7.07,237228,3353717
Aceh,PAN,7.47,250559,3353717
Aceh,PPP,6.32,212018,3353717
Aceh,PSI,3.19,107113,3353717
Aceh,Perindo,1.57,52488,3353717
Aceh,Hanura,0.78,26231,3353717
Aceh,Gelora,0.82,27338,3353717
Aceh,Partai Buruh,0.75,25017,3353717
Aceh,Partai Ummat,0.5,16637,3353717
Sumatera Utara,PDIP,17.47,1734613,9929868
Sumatera Utara,Golkar,16.95,1683141,9929868
Sumatera Utara,Gerindra,13.54,1344241,9929868
Sumatera Utara,PKB,10.96,1088233,9929868
Sumatera Utara,NasDem,9.68,961695,9929868
Sumatera Utara,PKS,7.41,735639,9929868
Sumatera Utara,Demokrat,6.73,667872,9929868
Sumatera Utara,PAN,6.37,632999,9929868
Sumatera Utara,PPP,4.13,410378,9929868
Sumatera Utara,PSI,2.71,269355,9929868
Sumatera Utara,Perindo,1.32,130731,9929868
Sumatera Utara,Hanura,0.83,82316,9929868
Sumatera Utara,Gelora,0.8,79136,9929868
Sumatera Utara,Partai Buruh,0.64,63445,9929868
Sumatera Utara,Partai Ummat,0.46,46066,9929868
Sumatera Barat,PDIP,7.09,243205,3428691
Sumatera Barat,Golkar,14.84,508938,3428691
Sumatera Barat,Gerindra,12.31,422203,3428691
Sumatera Barat,PKB,12.42,425805,3428691
Sumatera Barat,NasDem,10.93,374765,3428691
Sumatera Barat,PKS,15.69,537853,3428691
Sumatera Barat,Demokrat,8.41,288197,3428691
Sumatera Barat,PAN,6.79,232856,3428691
Sumatera Barat,PPP,4.49,153779,3428691
Sumatera Barat,PSI,2.94,100714,3428691
Sumatera Barat,Perindo,1.45,49700,3428691
Sumatera Barat,Hanura,0.84,28637,3428691
Sumatera Barat,Gelora,0.82,28231,3428691
Sumatera Barat,Partai Buruh,0.59,20090,3428691
Sumatera Barat,Partai Ummat,0.4,13712,3428691
Riau,PDIP,16.58,722041,4356087
Riau,Golkar,16.96,738969,4356087
Riau,Gerindra,14.85,646823,4356087
Riau,PKB,9.16,399141,4356087
Riau,NasDem,9.81,427419,4356087
Riau,PKS,8.32,362530,4356087
Riau,Demokrat,6.9,300685,4356087
Riau,PAN,6.49,282800,4356087
Riau,PPP,3.73,162536,4356087
Riau,PSI,3.21,140045,4356087
Riau,Perindo,1.23,53514,4356087
Riau,Hanura,0.73,31967,4356087
Riau,Gelora,0.9,39344,4356087
Riau,Partai Buruh,0.62,27099,4356087
Riau,Partai Ummat,0.49,21167,4356087
Jambi,PDIP,19.53,388749,1990502
Jambi,Golkar,14.51,288753,1990502
Jambi,Gerindra,13.55,269702,1990502
Jambi,PKB,10.23,203693,1990502
Jambi,NasDem,9.26,184314,1990502
Jambi,PKS,7.44,148033,1990502
Jambi,Demokrat,7.87,156691,1990502
Jambi,PAN,7.42,147740,1990502
Jambi,PPP,3.44,68385,1990502
Jambi,PSI,2.68,53373,1990502
Jambi,Perindo,1.47,29335,1990502
Jambi,Hanura,0.68,13552,1990502
Jambi,Gelora,0.77,15323,1990502
Jambi,Partai Buruh,0.65,13026,1990502
Jambi,Partai Ummat,0.49,9824,1990502
Sumatera Selatan,PDIP,14.89,771054,5179674
Sumatera Selatan,Golkar,15.51,803189,5179674
Sumatera Selatan,Gerindra,13.76,712644,5179674
Sumatera Selatan,PKB,9.43,488584,5179674
Sumatera Selatan,NasDem,9.95,515364,5179674
Sumatera Selatan,PKS,7.8,404168,5179674
Sumatera Selatan,Demokrat,7.45,386118,5179674
Sumatera Selatan,PAN,11.4,590539,5179674
Sumatera Selatan,PPP,3.28,169660,5179674
Sumatera Selatan,PSI,2.97,154032,5179674
Sumatera Selatan,Perindo,1.17,60539,5179674
Sumatera Selatan,Hanura,0.63,32603,5179674
Sumatera Selatan,Gelora,0.7,36201,5179674
Sumatera Selatan,Partai Buruh,0.63,32861,5179674
Sumatera Selatan,Partai Ummat,0.43,22111,5179674
Bengkulu,PDIP,14.92,165933,1112364
Bengkulu,Golkar,16.0,178008,1112364
Bengkulu,Gerindra,12.66,140862,1112364
Bengkulu,PKB,11.55,128521,1112364
Bengkulu,NasDem,9.09,101071,1112364
Bengkulu,PKS,9.29,103334,1112364
Bengkulu,Demokrat,7.49,83314,1112364
Bengkulu,PAN,8.53,94918,1112364
Bengkulu,PPP,3.6,40036,1112364
Bengkulu,PSI,2.78,30951,1112364
Bengkulu,Perindo,1.18,13134,1112364
Bengkulu,Hanura,0.85,9422,1112364
Bengkulu,Gelora,0.98,10854,1112364
Bengkulu,Partai Buruh,0.62,6889,1112364
Bengkulu,Partai Ummat,0.46,5109,1112364
Lampung,PDIP,17.41,1055718,6063935
Lampung,Golkar,14.77,895546,6063935
Lampung,Gerindra,12.68,768969,6063935
Lampung,PKB,9.31,564338,6063935
Lampung,NasDem,8.05,488448,6063935
Lampung,PKS,8.96,543297,6063935
Lampung,Demokrat,7.91,479829,6063935
Lampung,PAN,10.58,641302,6063935
Lampung,PPP,3.51,213028,6063935
Lampung,PSI,2.84,172374,6063935
Lampung,Perindo,1.36,82589,6063935
Lampung,Hanura,0.76,46331,6063935
