provinsi,populasi,dpt,tingkat_partisipasi,urbanisasi_pct,gen_z_pct,milenial_pct,gen_x_pct,boomer_plus_pct,ipm,tingkat_kemiskinan,penetrasi_internet_pct
Aceh,5400000,3955322,0.8479,41.2,31.2,29.0,21.6,18.2,75.87,11.99,61.4
Sumatera Utara,15200000,12180899,0.8152,51.8,30.0,22.0,20.3,27.6,72.97,13.37,83.0
Sumatera Barat,5600000,4341215,0.7898,52.3,25.5,27.9,21.2,25.5,70.37,12.52,63.5
Riau,7000000,5314895,0.8196,43.8,27.0,25.4,24.4,23.3,72.44,13.81,75.8
Jambi,3600000,2542798,0.7828,35.7,28.6,23.4,24.7,23.2,69.23,12.15,62.1
Sumatera Selatan,8600000,6074439,0.8527,84.8,27.0,26.8,18.5,27.7,78.25,10.1,82.5
Bengkulu,2000000,1389240,0.8007,45.3,23.9,22.3,21.3,32.5,75.47,8.66,79.4
Lampung,9200000,7279634,0.833,57.7,27.2,25.5,20.8,26.4,75.39,9.55,64.5
Kep. Bangka Belitung,1500000,1139346,0.8049,78.1,31.5,25.0,19.9,23.7,76.66,12.09,60.6
Kep. Riau,2200000,1699183,0.7864,42.8,29.2,27.3,18.2,25.4,70.33,4.16,76.8
DKI Jakarta,10700000,7384451,0.7883,100.0,23.0,28.4,19.2,29.3,76.79,4.19,86.3
Jawa Barat,49900000,40103167,0.7948,77.3,30.6,28.6,20.8,20.0,77.02,10.05,67.3
Jawa Tengah,37000000,29127518,0.8979,79.8,22.1,22.7,19.5,35.7,67.4,9.81,74.6
DI Yogyakarta,3700000,2638354,0.8843,80.2,30.2,24.7,19.8,25.3,72.7,13.9,88.5
Jawa Timur,40700000,28873366,0.8958,66.2,26.1,26.4,21.1,26.4,71.42,17.48,79.1
Banten,12500000,8870102,0.8126,79.8,26.9,29.2,23.6,20.4,73.38,8.22,66.7
Bali,4300000,3113457,0.8719,62.1,28.3,24.1,19.0,28.6,79.52,7.92,91.8
Nusa Tenggara Barat,5400000,4052334,0.8645,43.6,24.7,22.1,24.4,28.7,68.77,13.77,66.9
Nusa Tenggara Timur,5500000,4066329,0.7871,62.7,28.5,28.6,19.4,23.4,67.16,9.37,82.5
Kalimantan Barat,5400000,3901519,0.7957,78.7,28.0,26.8,22.7,22.6,69.63,17.14,70.5
Kalimantan Tengah,2700000,2054291,0.7836,54.2,27.2,22.4,19.2,31.3,78.07,8.83,75.1
Kalimantan Selatan,4200000,2958298,0.806,47.3,25.9,24.3,20.5,29.3,77.79,10.97,74.2
Kalimantan Timur,3800000,2745929,0.8111,58.8,28.6,29.5,23.1,18.7,70.22,8.31,66.6
Kalimantan Utara,700000,512042,0.8017,64.8,22.5,26.0,22.2,29.3,72.01,15.71,62.7
Sulawesi Utara,2600000,1929766,0.8463,38.8,29.3,26.0,22.8,21.9,73.52,10.46,80.5
Sulawesi Tengah,3100000,2422889,0.8085,75.0,28.9,24.2,22.1,24.7,72.41,8.92,82.9
Sulawesi Selatan,9200000,6546296,0.8025,41.8,31.5,25.6,19.3,23.6,75.13,16.73,78.3
Sulawesi Tenggara,2700000,2022769,0.8234,75.3,28.6,27.5,23.9,19.9,70.75,12.89,65.5
Gorontalo,1200000,910228,0.7913,84.4,31.4,22.3,22.9,23.3,80.88,9.81,74.2
Sulawesi Barat,1400000,970520,0.8442,80.8,22.3,27.6,20.1,30.0,80.87,17.71,83.6
Maluku,1900000,1444633,0.786,58.7,30.6,28.8,20.2,20.4,79.43,8.37,74.9
Maluku Utara,1300000,920488,0.859,46.5,23.2,22.6,22.9,31.3,72.1,15.25,61.6
Papua,1200000,834544,0.7504,25.8,29.9,24.6,22.4,23.2,79.26,29.24,45.8
Papua Barat,600000,480693,0.6758,32.4,22.2,29.0,21.7,27.1,80.54,31.98,64.9
Papua Selatan,500000,401579,0.6507,30.3,26.0,25.8,22.4,25.7,78.97,34.76,59.2
Papua Tengah,400000,313741,0.756,23.4,29.4,23.9,18.8,27.9,66.51,24.31,47.4
Papua Pegunungan,800000,579283,0.7419,15.8,22.2,29.9,21.0,26.9,67.22,30.19,45.5
Papua Barat Daya,300000,209806,0.7448,30.7,22.9,25.3,24.2,27.6,80.67,27.01,55.3
