provinsi,paslon,persentase_suara,jumlah_suara,total_suara_sah
Aceh,Prabowo-Gibran,47.07,1578755,3353717
Aceh,Anies-Cak Imin,38.62,1295099,3353717
Aceh,Ganjar-Mahfud,14.31,479861,3353717
Sumatera Utara,Prabowo-Gibran,57.51,5711122,9929868
Sumatera Utara,Anies-Cak Imin,26.02,2584185,9929868
Sumatera Utara,Ganjar-Mahfud,16.46,1634560,9929868
Sumatera Barat,Prabowo-Gibran,44.04,1510142,3428691
Sumatera Barat,Anies-Cak Imin,42.87,1469946,3428691
Sumatera Barat,Ganjar-Mahfud,13.08,448601,3428691
Riau,Prabowo-Gibran,60.4,2631087,4356087
Riau,Anies-Cak Imin,23.03,1003265,4356087
Riau,Ganjar-Mahfud,16.57,721733,4356087
Jambi,Prabowo-Gibran,59.59,1186095,1990502
Jambi,Anies-Cak Imin,24.58,489283,1990502
Jambi,Ganjar-Mahfud,15.83,315122,1990502
Sumatera Selatan,Prabowo-Gibran,57.77,2992103,5179674
Sumatera Selatan,Anies-Cak Imin,24.28,1257823,5179674
Sumatera Selatan,Ganjar-Mahfud,17.95,929746,5179674
Bengkulu,Prabowo-Gibran,59.51,661949,1112364
Bengkulu,Anies-Cak Imin,25.98,288992,1112364
Bengkulu,Ganjar-Mahfud,14.51,161422,1112364
Lampung,Prabowo-Gibran,59.02,3579021,6063935
Lampung,Anies-Cak Imin,26.13,1584543,6063935
Lampung,Ganjar-Mahfud,14.85,900369,6063935
Kep. Bangka Belitung,Prabowo-Gibran,55.52,509158,917059
Kep. Bangka Belitung,Anies-Cak Imin,27.14,248851,917059
Kep. Bangka Belitung,Ganjar-Mahfud,17.34,159048,917059
Kep. Riau,Prabowo-Gibran,60.66,810562,1336237
Kep. Riau,Anies-Cak Imin,22.44,299806,1336237
Kep. Riau,Ganjar-Mahfud,16.9,225868,1336237
DKI Jakarta,Prabowo-Gibran,51.16,2978011,5821162
DKI Jakarta,Anies-Cak Imin,34.57,2012665,5821162
DKI Jakarta,Ganjar-Mahfud,14.27,830484,5821162
Jawa Barat,Prabowo-Gibran,59.07,18826601,31873997
Jawa Barat,Anies-Cak Imin,26.67,8500137,31873997
Jawa Barat,Ganjar-Mahfud,14.27,4547258,31873997
Jawa Tengah,Prabowo-Gibran,50.49,13203798,26153598
Jawa Tengah,Anies-Cak Imin,23.79,6222578,26153598
Jawa Tengah,Ganjar-Mahfud,25.72,6727220,26153598
DI Yogyakarta,Prabowo-Gibran,54.53,1272156,2333096
DI Yogyakarta,Anies-Cak Imin,21.57,503274,2333096
DI Yogyakarta,Ganjar-Mahfud,23.9,557665,2333096
Jawa Timur,Prabowo-Gibran,58.51,15132272,25864761
Jawa Timur,Anies-Cak Imin,24.1,6234488,25864761
Jawa Timur,Ganjar-Mahfud,17.39,4498000,25864761
